name,price,capacity,price_per_gb,type,cache,form_factor,interface,brand,model,slug
Seagate BarraCuda,67.18,1000.0,0.067,5400,128.0,2.5,SATA,Seagate,BarraCuda,seagate-barracuda-1000-0-sata
Seagate BarraCuda,119.99,6000.0,0.02,5400,256.0,3.5,SATA,Seagate,BarraCuda,seagate-barracuda-6000-0-sata
MSI SPATIUM M580 FROZR,549.99,4000.0,,SSD,8192.0,M.2-2280,PCIe Gen5,MSI,SPATIUM M580 FROZR,msi-spatium-m580-frozr-4000-0-pcie-gen5
Inland TN320,35.99,512.0,0.07,SSD,,M.2-2280,PCIe Gen4,Inland,TN320,inland-tn320-512-0-pcie-gen4
PNY CS2230,54.99,1000.0,0.055,SSD,,M.2-2280,PCIe Gen4,PNY,CS2230,pny-cs2230-1000-0-pcie-gen4
Intel Optane 905P,4500.0,1500.0,3.0,SSD,,2.5,U.2,Intel,Optane 905P,intel-optane-905p-1500-0-u-2
KIOXIA EXCERIA PRO,103.69,1000.0,0.104,SSD,,M.2-2280,PCIe Gen4,KIOXIA,EXCERIA PRO,kioxia-exceria-pro-1000-0-pcie-gen4
Seagate IronWolf NAS,273.99,10000.0,0.027,7200,256.0,3.5,SATA,Seagate,IronWolf NAS,seagate-ironwolf-nas-10000-0-sata
Seagate EXOS Enterprise,91.0,4000.0,0.023,7200,128.0,3.5,SATA,Seagate,EXOS Enterprise,seagate-exos-enterprise-4000-0-sata
Kingston NV2,229.77,4000.0,0.057,SSD,,M.2-2280,PCIe Gen4,Kingston,NV2,kingston-nv2-4000-0-pcie-gen4
Seagate FireCuda 530R,79.99,1000.0,0.08,SSD,,M.2-2280,PCIe Gen4,Seagate,FireCuda 530R,seagate-firecuda-530r-1000-0-pcie-gen4
Corsair MP600 PRO LPX,94.99,1000.0,0.095,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 PRO LPX,corsair-mp600-pro-lpx-1000-0-pcie-gen4
KIOXIA EXCERIA PRO,169.31,2000.0,0.085,SSD,,M.2-2280,PCIe Gen4,KIOXIA,EXCERIA PRO,kioxia-exceria-pro-2000-0-pcie-gen4
SanDisk SSD PLUS,39.5,480.0,0.082,SSD,,2.5,SATA,SanDisk,SSD PLUS,sandisk-ssd-plus-480-0-sata
Solidigm P44 Pro,252.0,2000.0,0.126,SSD,,M.2-2280,PCIe Gen4,Solidigm,P44 Pro,solidigm-p44-pro-2000-0-pcie-gen4
Intel 750,2488.87,1200.0,2.074,SSD,,PCIe,PCIe Gen4,Intel,750,intel-750-1200-0-pcie-gen4
Corsair MP600 PRO LPX,159.99,2000.0,0.08,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 PRO LPX,corsair-mp600-pro-lpx-2000-0-pcie-gen4
Western Digital WD Blue,104.99,6000.0,0.017,5400,256.0,3.5,SATA,Western,Digital WD Blue,western-digital-wd-blue-6000-0-sata
Corsair MP600 PRO LPX,909.99,8000.0,0.114,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 PRO LPX,corsair-mp600-pro-lpx-8000-0-pcie-gen4
Gigabyte Gen3 2500E,65.36,500.0,0.131,SSD,,M.2-2280,PCIe Gen4,Gigabyte,Gen3 2500E,gigabyte-gen3-2500e-500-0-pcie-gen4
Crucial P310 w/Heatsink,78.98,1000.0,0.079,SSD,,M.2-2280,PCIe Gen4,Crucial,P310 w/Heatsink,crucial-p310-w-heatsink-1000-0-pcie-gen4
SK Hynix Platinum P41,58.09,500.0,0.116,SSD,,M.2-2280,PCIe Gen4,SK,Hynix Platinum P41,sk-hynix-platinum-p41-500-0-pcie-gen4
Western Digital Green,44.99,120.0,0.375,SSD,,2.5,SATA,Western,Digital Green,western-digital-green-120-0-sata
Orico O7000,59.49,1000.0,0.059,SSD,,M.2-2280,PCIe Gen4,Orico,O7000,orico-o7000-1000-0-pcie-gen4
Seagate Exos X16,389.0,16000.0,0.024,7200,256.0,3.5,SATA,Seagate,Exos X16,seagate-exos-x16-16000-0-sata
Patriot P210,52.99,1000.0,0.053,SSD,,2.5,SATA,Patriot,P210,patriot-p210-1000-0-sata
Lexar Professional NM1090 PRO,154.51,1000.0,0.155,SSD,,M.2-2280,PCIe Gen5,Lexar,Professional NM1090 PRO,lexar-professional-nm1090-pro-1000-0-pcie-gen5
Silicon Power US75,219.99,4000.0,0.055,SSD,,M.2-2280,PCIe Gen4,Silicon,Power US75,silicon-power-us75-4000-0-pcie-gen4
Sabrent Rocket 5,189.99,1000.0,0.19,SSD,,M.2-2280,PCIe Gen5,Sabrent,Rocket 5,sabrent-rocket-5-1000-0-pcie-gen5
TEAMGROUP GX2,32.99,512.0,0.064,SSD,,2.5,SATA,TEAMGROUP,GX2,teamgroup-gx2-512-0-sata
Kingston KC600,61.87,512.0,0.121,SSD,,2.5,SATA,Kingston,KC600,kingston-kc600-512-0-sata
Seagate Exos X22,1034.71,22000.0,0.047,7200,512.0,3.5,SATA,Seagate,Exos X22,seagate-exos-x22-22000-0-sata
Seagate IronWolf NAS,235.31,12000.0,0.02,7200,256.0,3.5,SATA,Seagate,IronWolf NAS,seagate-ironwolf-nas-12000-0-sata
Patriot P320,15.99,128.0,0.125,SSD,,M.2-2280,PCIe Gen4,Patriot,P320,patriot-p320-128-0-pcie-gen4
Patriot Viper VP4300,94.99,1000.0,0.095,SSD,,M.2-2280,PCIe Gen4,Patriot,Viper VP4300,patriot-viper-vp4300-1000-0-pcie-gen4
Inland TN450,62.99,1000.0,0.063,SSD,,M.2-2280,PCIe Gen4,Inland,TN450,inland-tn450-1000-0-pcie-gen4
TEAMGROUP T-FORCE G70 PRO Graphene,279.99,4000.0,0.07,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,T-FORCE G70 PRO Graphene,teamgroup-t-force-g70-pro-graphene-4000-0-pcie-gen4
Western Digital SN530,49.95,512.0,0.098,SSD,,M.2-2280,PCIe Gen4,Western,Digital SN530,western-digital-sn530-512-0-pcie-gen4
Western Digital Red Plus,79.98,2000.0,0.04,5400,64.0,3.5,SATA,Western,Digital Red Plus,western-digital-red-plus-2000-0-sata
Samsung 840 Evo,151.44,250.0,0.606,SSD,,2.5,SATA,Samsung,840 Evo,samsung-840-evo-250-0-sata
Toshiba S300,115.57,4000.0,0.029,5400,256.0,3.5,SATA,Toshiba,S300,toshiba-s300-4000-0-sata
PNY CS2230,44.99,500.0,0.09,SSD,,M.2-2280,PCIe Gen4,PNY,CS2230,pny-cs2230-500-0-pcie-gen4
Western Digital Black SN750 SE,61.97,500.0,0.124,SSD,,M.2-2280,PCIe Gen4,Western,Digital Black SN750 SE,western-digital-black-sn750-se-500-0-pcie-gen4
FanXiang S880,245.98,4000.0,0.061,SSD,,M.2-2280,PCIe Gen4,FanXiang,S880,fanxiang-s880-4000-0-pcie-gen4
Crucial T710,229.99,2000.0,0.115,SSD,,M.2-2280,PCIe Gen5,Crucial,T710,crucial-t710-2000-0-pcie-gen5
TEAMGROUP T-Force Delta Max White RGB Lite,58.99,1000.0,0.059,SSD,,2.5,SATA,TEAMGROUP,T-Force Delta Max White RGB Lite,teamgroup-t-force-delta-max-white-rgb-lite-1000-0-sata
Western Digital Gold,449.99,22000.0,0.02,7200,512.0,3.5,SATA,Western,Digital Gold,western-digital-gold-22000-0-sata
Lexar Professional NM1090 PRO,214.49,2000.0,0.107,SSD,,M.2-2280,PCIe Gen5,Lexar,Professional NM1090 PRO,lexar-professional-nm1090-pro-2000-0-pcie-gen5
Western Digital Blue,149.99,8000.0,0.019,5640,128.0,3.5,SATA,Western,Digital Blue,western-digital-blue-8000-0-sata
Crucial T705 W/Heatsink,152.99,1000.0,0.153,SSD,,M.2-2280,PCIe Gen5,Crucial,T705 W/Heatsink,crucial-t705-w-heatsink-1000-0-pcie-gen5
TEAMGROUP MS30,21.99,256.0,0.086,SSD,,M.2-2280,SATA,TEAMGROUP,MS30,teamgroup-ms30-256-0-sata
Silicon Power P34A60,21.99,128.0,0.172,SSD,,M.2-2280,PCIe Gen4,Silicon,Power P34A60,silicon-power-p34a60-128-0-pcie-gen4
TEAMGROUP T-Force GC PRO,379.99,4000.0,0.095,SSD,,M.2-2280,PCIe Gen5,TEAMGROUP,T-Force GC PRO,teamgroup-t-force-gc-pro-4000-0-pcie-gen5
Corsair MP600 CORE XT R2,68.5,1000.0,0.068,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 CORE XT R2,corsair-mp600-core-xt-r2-1000-0-pcie-gen4
FanXiang S660,122.54,2000.0,0.061,SSD,,M.2-2280,PCIe Gen4,FanXiang,S660,fanxiang-s660-2000-0-pcie-gen4
Crucial P310 w/Heatsink,144.99,2000.0,0.072,SSD,,M.2-2280,PCIe Gen4,Crucial,P310 w/Heatsink,crucial-p310-w-heatsink-2000-0-pcie-gen4
ADATA Ultimate SU650,24.41,240.0,0.102,SSD,,2.5,SATA,ADATA,Ultimate SU650,adata-ultimate-su650-240-0-sata
Seagate BarraCuda Q5,69.98,1000.0,0.07,SSD,,M.2-2280,PCIe Gen4,Seagate,BarraCuda Q5,seagate-barracuda-q5-1000-0-pcie-gen4
Patriot P220,18.98,256.0,0.074,SSD,,2.5,SATA,Patriot,P220,patriot-p220-256-0-sata
SK Hynix Gold P31,229.98,2000.0,0.115,SSD,,M.2-2280,PCIe Gen4,SK,Hynix Gold P31,sk-hynix-gold-p31-2000-0-pcie-gen4
ADATA SU800,57.87,512.0,0.113,SSD,,2.5,SATA,ADATA,SU800,adata-su800-512-0-sata
SanDisk SSD PLUS,44.99,500.0,0.09,SSD,,M.2-2280,PCIe Gen4,SanDisk,SSD PLUS,sandisk-ssd-plus-500-0-pcie-gen4
Kingston SSDNow V300,76.17,120.0,0.635,SSD,,2.5,SATA,Kingston,SSDNow V300,kingston-ssdnow-v300-120-0-sata
Solidigm P44 Pro,149.85,1000.0,0.15,SSD,,M.2-2280,PCIe Gen4,Solidigm,P44 Pro,solidigm-p44-pro-1000-0-pcie-gen4
Western Digital Purple,86.99,4000.0,0.022,5400,256.0,3.5,SATA,Western,Digital Purple,western-digital-purple-4000-0-sata
Western Digital Ultrastar DC HC560,479.65,22000.0,0.022,7200,512.0,3.5,SATA,Western,Digital Ultrastar DC HC560,western-digital-ultrastar-dc-hc560-22000-0-sata
Seagate IronWolf NAS,249.99,14000.0,0.018,7200,256.0,3.5,SATA,Seagate,IronWolf NAS,seagate-ironwolf-nas-14000-0-sata
Corsair MP700 Elite w/Heatsink,206.85,2000.0,0.103,SSD,,M.2-2280,PCIe Gen5,Corsair,MP700 Elite w/Heatsink,corsair-mp700-elite-w-heatsink-2000-0-pcie-gen5
Sabrent Rocket Q,124.99,1000.0,0.125,SSD,,M.2-2280,PCIe Gen4,Sabrent,Rocket Q,sabrent-rocket-q-1000-0-pcie-gen4
Corsair MP600 PRO NH,139.72,2000.0,0.07,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 PRO NH,corsair-mp600-pro-nh-2000-0-pcie-gen4
Crucial T700 W/Heatsink,139.0,1000.0,0.139,SSD,,M.2-2280,PCIe Gen5,Crucial,T700 W/Heatsink,crucial-t700-w-heatsink-1000-0-pcie-gen5
Silicon Power A55,32.97,512.0,0.064,SSD,,M.2-2280,SATA,Silicon,Power A55,silicon-power-a55-512-0-sata
Seagate BarraCuda,40.0,500.0,0.08,5400,32.0,3.5,SATA,Seagate,BarraCuda,seagate-barracuda-500-0-sata
Western Digital Blue SA510,42.99,500.0,0.086,SSD,,2.5,SATA,Western,Digital Blue SA510,western-digital-blue-sa510-500-0-sata
TEAMGROUP Z440 Lite,61.99,1000.0,0.062,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,Z440 Lite,teamgroup-z440-lite-1000-0-pcie-gen4
Lexar NS100,23.98,256.0,,SSD,,2.5,SATA,Lexar,NS100,lexar-ns100-256-0-sata
Kingston Fury Renegade with Heat Sink,174.66,2000.0,0.087,SSD,,M.2-2280,PCIe Gen4,Kingston,Fury Renegade with Heat Sink,kingston-fury-renegade-with-heat-sink-2000-0-pcie-gen4
MSI SPATIUM M570 HS,405.25,2000.0,0.203,SSD,4096.0,M.2-2280,PCIe Gen5,MSI,SPATIUM M570 HS,msi-spatium-m570-hs-2000-0-pcie-gen5
Seagate Exos X24,399.99,20000.0,0.02,7200,512.0,3.5,SATA,Seagate,Exos X24,seagate-exos-x24-20000-0-sata
Intel 670p,52.89,512.0,0.103,SSD,,M.2-2280,PCIe Gen4,Intel,670p,intel-670p-512-0-pcie-gen4
ADATA XPG SPECTRIX S40G RGB,49.0,512.0,0.096,SSD,,M.2-2280,PCIe Gen4,ADATA,XPG SPECTRIX S40G RGB,adata-xpg-spectrix-s40g-rgb-512-0-pcie-gen4
Western Digital Caviar Green,54.99,1000.0,0.055,5400,64.0,3.5,SATA,Western,Digital Caviar Green,western-digital-caviar-green-1000-0-sata
Corsair MP600 PRO XT,174.99,2000.0,0.087,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 PRO XT,corsair-mp600-pro-xt-2000-0-pcie-gen4
Samsung 960 Evo,206.11,1000.0,0.206,SSD,1024.0,M.2-2280,PCIe Gen4,Samsung,960 Evo,samsung-960-evo-1000-0-pcie-gen4
Acer Predator GM7,234.99,4000.0,0.059,SSD,,M.2-2280,PCIe Gen4,Acer,Predator GM7,acer-predator-gm7-4000-0-pcie-gen4
Crucial P510 W/Heatsink,109.99,1000.0,0.11,SSD,,M.2-2280,PCIe Gen5,Crucial,P510 W/Heatsink,crucial-p510-w-heatsink-1000-0-pcie-gen5
Silicon Power UD90,51.34,500.0,0.103,SSD,,M.2-2280,PCIe Gen4,Silicon,Power UD90,silicon-power-ud90-500-0-pcie-gen4
Solidigm P41 Plus,119.95,1000.0,0.12,SSD,,M.2-2280,PCIe Gen4,Solidigm,P41 Plus,solidigm-p41-plus-1000-0-pcie-gen4
TEAMGROUP AX2,48.99,1000.0,0.049,SSD,,2.5,SATA,TEAMGROUP,AX2,teamgroup-ax2-1000-0-sata
SanDisk SSD PLUS,114.99,2000.0,0.057,SSD,,M.2-2280,PCIe Gen4,SanDisk,SSD PLUS,sandisk-ssd-plus-2000-0-pcie-gen4
Netac NV7000-t,162.99,2000.0,0.081,SSD,,M.2-2280,PCIe Gen4,Netac,NV7000-t,netac-nv7000-t-2000-0-pcie-gen4
Solidigm P41 Plus,141.94,2000.0,0.071,SSD,,M.2-2280,PCIe Gen4,Solidigm,P41 Plus,solidigm-p41-plus-2000-0-pcie-gen4
Western Digital WD_BLACK,300.56,10000.0,0.03,7200,256.0,3.5,SATA,Western,Digital WD_BLACK,western-digital-wd-black-10000-0-sata
Seagate Barracuda Compute,92.5,2000.0,0.046,5400,128.0,2.5,SATA,Seagate,Barracuda Compute,seagate-barracuda-compute-2000-0-sata
Seagate ST1000LM035,44.0,1000.0,0.044,5400,128.0,2.5,SATA,Seagate,ST1000LM035,seagate-st1000lm035-1000-0-sata
PNY CS1030,32.75,250.0,0.131,SSD,,M.2-2280,PCIe Gen4,PNY,CS1030,pny-cs1030-250-0-pcie-gen4
PNY CS2241,37.99,500.0,0.076,SSD,,M.2-2280,PCIe Gen4,PNY,CS2241,pny-cs2241-500-0-pcie-gen4
Crucial T700 W/Heatsink,249.99,2000.0,0.125,SSD,,M.2-2280,PCIe Gen5,Crucial,T700 W/Heatsink,crucial-t700-w-heatsink-2000-0-pcie-gen5
Seagate BarraCuda,127.0,4000.0,0.032,5400,128.0,2.5,SATA,Seagate,BarraCuda,seagate-barracuda-4000-0-sata
TEAMGROUP T-FORCE G70 PRO Aluminum,124.99,2000.0,0.062,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,T-FORCE G70 PRO Aluminum,teamgroup-t-force-g70-pro-aluminum-2000-0-pcie-gen4
Inland TN470,69.98,1000.0,0.07,SSD,,M.2-2280,PCIe Gen4,Inland,TN470,inland-tn470-1000-0-pcie-gen4
ADATA SU630,32.99,480.0,0.069,SSD,,2.5,SATA,ADATA,SU630,adata-su630-480-0-sata
Acer FA100,99.99,2000.0,0.05,SSD,,M.2-2280,PCIe Gen4,Acer,FA100,acer-fa100-2000-0-pcie-gen4
Western Digital Blue SN570,39.99,250.0,0.16,SSD,,M.2-2280,PCIe Gen4,Western,Digital Blue SN570,western-digital-blue-sn570-250-0-pcie-gen4
Toshiba MK3276GSX,13.98,320.0,0.044,5400,8.0,2.5,SATA,Toshiba,MK3276GSX,toshiba-mk3276gsx-320-0-sata
Crucial P1,84.99,500.0,0.17,SSD,,M.2-2280,PCIe Gen4,Crucial,P1,crucial-p1-500-0-pcie-gen4
Seagate IronWolf NAS,149.99,6000.0,0.025,5400,256.0,3.5,SATA,Seagate,IronWolf NAS,seagate-ironwolf-nas-6000-0-sata
ADATA XPG GAMMIX S11 Pro,198.9,1000.0,0.199,SSD,,M.2-2280,PCIe Gen4,ADATA,XPG GAMMIX S11 Pro,adata-xpg-gammix-s11-pro-1000-0-pcie-gen4
Lexar Professional NM1090 PRO,408.49,4000.0,0.102,SSD,,M.2-2280,PCIe Gen5,Lexar,Professional NM1090 PRO,lexar-professional-nm1090-pro-4000-0-pcie-gen5
Western Digital Blue,118.0,1000.0,0.118,SSD,,M.2-2280,SATA,Western,Digital Blue,western-digital-blue-1000-0-sata
Western Digital Gold,579.99,20000.0,0.029,7200,512.0,3.5,SATA,Western,Digital Gold,western-digital-gold-20000-0-sata
Patriot P310,112.99,1920.0,0.059,SSD,,M.2-2280,PCIe Gen4,Patriot,P310,patriot-p310-1920-0-pcie-gen4
Western Digital WD Red Pro,249.99,10000.0,0.025,7200,512.0,3.5,SATA,Western,Digital WD Red Pro,western-digital-wd-red-pro-10000-0-sata
MSI SPATIUM M570 FROZR,239.99,2000.0,0.12,SSD,4096.0,M.2-2280,PCIe Gen5,MSI,SPATIUM M570 FROZR,msi-spatium-m570-frozr-2000-0-pcie-gen5
TEAMGROUP GX2,50.99,1000.0,0.051,SSD,,2.5,SATA,TEAMGROUP,GX2,teamgroup-gx2-1000-0-sata
SK Hynix Platinum P51,169.99,1000.0,0.17,SSD,,M.2-2280,PCIe Gen5,SK,Hynix Platinum P51,sk-hynix-platinum-p51-1000-0-pcie-gen5
Crucial P2,39.99,250.0,0.16,SSD,,M.2-2280,PCIe Gen4,Crucial,P2,crucial-p2-250-0-pcie-gen4
SanDisk Extreme,79.98,1000.0,0.08,SSD,,M.2-2280,PCIe Gen4,SanDisk,Extreme,sandisk-extreme-1000-0-pcie-gen4
Western Digital WD Red Pro,269.23,12000.0,0.022,7200,512.0,3.5,SATA,Western,Digital WD Red Pro,western-digital-wd-red-pro-12000-0-sata
SanDisk Extreme,124.99,2000.0,0.062,SSD,,M.2-2280,PCIe Gen4,SanDisk,Extreme,sandisk-extreme-2000-0-pcie-gen4
Klevv CRAS C930,75.98,1000.0,0.076,SSD,,M.2-2280,PCIe Gen4,Klevv,CRAS C930,klevv-cras-c930-1000-0-pcie-gen4
Seagate BarraCuda Pro Compute,64.79,1000.0,0.065,7200,128.0,2.5,SATA,Seagate,BarraCuda Pro Compute,seagate-barracuda-pro-compute-1000-0-sata
Crucial P5 Plus W/Heatsink,178.79,2000.0,0.089,SSD,,M.2-2280,PCIe Gen4,Crucial,P5 Plus W/Heatsink,crucial-p5-plus-w-heatsink-2000-0-pcie-gen4
Western Digital Blue,96.99,500.0,0.194,SSD,,M.2-2280,SATA,Western,Digital Blue,western-digital-blue-500-0-sata
SanDisk SSD PLUS,29.99,250.0,0.12,SSD,,M.2-2280,PCIe Gen4,SanDisk,SSD PLUS,sandisk-ssd-plus-250-0-pcie-gen4
Samsung 860 Evo,216.13,1000.0,0.216,SSD,1024.0,M.2-2280,SATA,Samsung,860 Evo,samsung-860-evo-1000-0-sata
Seagate FireCuda 540,378.09,2000.0,0.189,SSD,,M.2-2280,PCIe Gen5,Seagate,FireCuda 540,seagate-firecuda-540-2000-0-pcie-gen5
Western Digital Blue,210.0,2000.0,0.105,SSD,,2.5,SATA,Western,Digital Blue,western-digital-blue-2000-0-sata
ADATA Ultimate SU650,59.99,960.0,0.062,SSD,,2.5,SATA,ADATA,Ultimate SU650,adata-ultimate-su650-960-0-sata
Patriot Burst Elite,89.99,1920.0,0.047,SSD,,2.5,SATA,Patriot,Burst Elite,patriot-burst-elite-1920-0-sata
Western Digital SE,42.48,2000.0,0.021,7200,64.0,3.5,SATA,Western,Digital SE,western-digital-se-2000-0-sata
TEAMGROUP AX2,90.99,2000.0,0.045,SSD,,2.5,SATA,TEAMGROUP,AX2,teamgroup-ax2-2000-0-sata
Western Digital Black SN850,110.0,500.0,0.22,SSD,,M.2-2280,PCIe Gen4,Western,Digital Black SN850,western-digital-black-sn850-500-0-pcie-gen4
TEAMGROUP AX2,30.99,512.0,0.061,SSD,,2.5,SATA,TEAMGROUP,AX2,teamgroup-ax2-512-0-sata
SK Hynix Gold P31,44.09,500.0,0.088,SSD,,M.2-2280,PCIe Gen4,SK,Hynix Gold P31,sk-hynix-gold-p31-500-0-pcie-gen4
Intenso Top Performance,35.75,512.0,0.07,SSD,,M.2-2280,SATA,Intenso,Top Performance,intenso-top-performance-512-0-sata
ADATA LEGEND 960 MAX,89.99,1000.0,0.09,SSD,,M.2-2280,PCIe Gen4,ADATA,LEGEND 960 MAX,adata-legend-960-max-1000-0-pcie-gen4
GOODRAM PX700,107.33,1024.0,0.105,SSD,,M.2-2280,PCIe Gen4,GOODRAM,PX700,goodram-px700-1024-0-pcie-gen4
Kingston A2000,99.99,250.0,0.4,SSD,,M.2-2280,PCIe Gen4,Kingston,A2000,kingston-a2000-250-0-pcie-gen4
KIOXIA EXCERIA,74.31,960.0,0.077,SSD,,2.5,SATA,KIOXIA,EXCERIA,kioxia-exceria-960-0-sata
Corsair MP600 GS,69.98,500.0,0.14,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 GS,corsair-mp600-gs-500-0-pcie-gen4
Addlink S70,32.88,512.0,0.064,SSD,,M.2-2280,PCIe Gen4,Addlink,S70,addlink-s70-512-0-pcie-gen4
Corsair MP700 PRO w/Heatsink,554.99,4000.0,0.139,SSD,,M.2-2280,PCIe Gen5,Corsair,MP700 PRO w/Heatsink,corsair-mp700-pro-w-heatsink-4000-0-pcie-gen5
ADATA SU800,47.94,256.0,0.187,SSD,,2.5,SATA,ADATA,SU800,adata-su800-256-0-sata
Corsair MP600 GS,72.88,1000.0,0.073,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 GS,corsair-mp600-gs-1000-0-pcie-gen4
Kingston Fury Renegade with Heat Sink,109.99,1000.0,0.11,SSD,,M.2-2280,PCIe Gen4,Kingston,Fury Renegade with Heat Sink,kingston-fury-renegade-with-heat-sink-1000-0-pcie-gen4
TEAMGROUP T-Force Cardea Z540,139.99,1000.0,0.14,SSD,,M.2-2280,PCIe Gen5,TEAMGROUP,T-Force Cardea Z540,teamgroup-t-force-cardea-z540-1000-0-pcie-gen5
Corsair MP700 PRO SE with Air Cooler,283.99,2000.0,0.142,SSD,,M.2-2280,PCIe Gen5,Corsair,MP700 PRO SE with Air Cooler,corsair-mp700-pro-se-with-air-cooler-2000-0-pcie-gen5
MSI SPATIUM M470,149.99,1000.0,0.15,SSD,,M.2-2280,PCIe Gen4,MSI,SPATIUM M470,msi-spatium-m470-1000-0-pcie-gen4
Samsung MZVPV512HDGL-00000,69.0,512.0,0.135,SSD,,M.2-2280,PCIe Gen4,Samsung,MZVPV512HDGL-00000,samsung-mzvpv512hdgl-00000-512-0-pcie-gen4
Samsung 850 Pro,200.87,512.0,0.392,SSD,,2.5,SATA,Samsung,850 Pro,samsung-850-pro-512-0-sata
Western Digital WD Red Pro,199.99,8000.0,0.025,7200,256.0,3.5,SATA,Western,Digital WD Red Pro,western-digital-wd-red-pro-8000-0-sata
Western Digital Green,99.99,2000.0,0.05,SSD,,2.5,SATA,Western,Digital Green,western-digital-green-2000-0-sata
Patriot Burst Elite,51.99,960.0,0.054,SSD,,2.5,SATA,Patriot,Burst Elite,patriot-burst-elite-960-0-sata
Transcend 110S,20.99,128.0,0.164,SSD,,M.2-2280,PCIe Gen4,Transcend,110S,transcend-110s-128-0-pcie-gen4
Kingston KC600,89.99,1024.0,0.088,SSD,,2.5,SATA,Kingston,KC600,kingston-kc600-1024-0-sata
Western Digital WD_BLACK,129.99,4000.0,0.032,7200,256.0,3.5,SATA,Western,Digital WD_BLACK,western-digital-wd-black-4000-0-sata
MSI SPATIUM S270,39.0,240.0,0.163,SSD,,2.5,SATA,MSI,SPATIUM S270,msi-spatium-s270-240-0-sata
Western Digital Red,141.94,4000.0,0.035,5400,256.0,3.5,SATA,Western,Digital Red,western-digital-red-4000-0-sata
Western Digital Red SN700,100.0,1000.0,0.1,SSD,,M.2-2280,PCIe Gen4,Western,Digital Red SN700,western-digital-red-sn700-1000-0-pcie-gen4
Western Digital Ultrastar DC HC550,310.49,16000.0,0.019,7200,512.0,3.5,SATA,Western,Digital Ultrastar DC HC550,western-digital-ultrastar-dc-hc550-16000-0-sata
TEAMGROUP CX2,48.99,1000.0,0.049,SSD,,2.5,SATA,TEAMGROUP,CX2,teamgroup-cx2-1000-0-sata
Western Digital Blue SN550,69.99,500.0,0.14,SSD,,M.2-2280,PCIe Gen4,Western,Digital Blue SN550,western-digital-blue-sn550-500-0-pcie-gen4
Intel 660p,199.0,2048.0,0.097,SSD,,M.2-2280,PCIe Gen4,Intel,660p,intel-660p-2048-0-pcie-gen4
Western Digital Blue,102.99,2000.0,0.051,5400,256.0,3.5,SATA,Western,Digital Blue,western-digital-blue-2000-0-sata
Western Digital Black AN1500,887.71,2000.0,0.444,SSD,,PCIe,PCIe x8,Western,Digital Black AN1500,western-digital-black-an1500-2000-0-pcie-x8
Hitachi Ultrastar 7K6000,75.63,4000.0,0.019,7200,128.0,3.5,SATA,Hitachi,Ultrastar 7K6000,hitachi-ultrastar-7k6000-4000-0-sata
Seagate IronWolf Pro,255.0,8000.0,0.032,7200,256.0,3.5,SATA,Seagate,IronWolf Pro,seagate-ironwolf-pro-8000-0-sata
Western Digital Black SN850,222.99,2000.0,0.111,SSD,,M.2-2280,PCIe Gen4,Western,Digital Black SN850,western-digital-black-sn850-2000-0-pcie-gen4
Seagate IronWolf NAS,230.0,6000.0,0.038,7200,256.0,3.5,SATA,Seagate,IronWolf NAS,seagate-ironwolf-nas-6000-0-sata
TEAMGROUP T-Force Cardea Z540,219.99,2000.0,0.11,SSD,,M.2-2280,PCIe Gen5,TEAMGROUP,T-Force Cardea Z540,teamgroup-t-force-cardea-z540-2000-0-pcie-gen5
Intenso High Performance,20.95,120.0,0.175,SSD,,2.5,SATA,Intenso,High Performance,intenso-high-performance-120-0-sata
Hitachi 0F23663,1045.0,6000.0,0.174,7200,128.0,3.5,SATA,Hitachi,0F23663,hitachi-0f23663-6000-0-sata
Orico D10,119.99,2000.0,0.06,SSD,,M.2-2280,PCIe Gen4,Orico,D10,orico-d10-2000-0-pcie-gen4
Western Digital Green,49.0,240.0,0.204,SSD,,M.2-2280,SATA,Western,Digital Green,western-digital-green-240-0-sata
SanDisk Ultra 3D,113.15,500.0,0.226,SSD,,2.5,SATA,SanDisk,Ultra 3D,sandisk-ultra-3d-500-0-sata
Crucial P510 W/Heatsink,189.99,2000.0,0.095,SSD,,M.2-2280,PCIe Gen5,Crucial,P510 W/Heatsink,crucial-p510-w-heatsink-2000-0-pcie-gen5
Seagate Exos X14,249.99,14000.0,0.018,7200,256.0,3.5,SATA,Seagate,Exos X14,seagate-exos-x14-14000-0-sata
Lexar NM790 w/Heatsink,71.48,1000.0,0.071,SSD,,M.2-2280,PCIe Gen4,Lexar,NM790 w/Heatsink,lexar-nm790-w-heatsink-1000-0-pcie-gen4
PNY CS3140,74.99,1000.0,0.075,SSD,,M.2-2280,PCIe Gen4,PNY,CS3140,pny-cs3140-1000-0-pcie-gen4
