name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug
Kingston Fury Renegade RGB 64 GB,277.98,"2,32",4.343,Silver / Black,10.0,32.0,DDR5,6400,kingston-fury-renegade-rgb-64-gb-ddr5-6400
ADATA XPG GAMMIX D10 8 GB,49.15,"1,8",6.144,Black,10.0,16.0,DDR4,3200,adata-xpg-gammix-d10-8-gb-ddr4-3200
G.Skill Trident Z5 Neo 32 GB,109.99,"2,16",3.437,Black,10.0,28.0,DDR5,5600,g-skill-trident-z5-neo-32-gb-ddr5-5600
G.Skill Ripjaws V 128 GB,309.99,"4,32",2.422,Black,10.0,18.0,DDR4,3600,g-skill-ripjaws-v-128-gb-ddr4-3600
OLOy MD4U1636181CHKDA 32 GB,75.99,"2,16",,Black,10.0,18.0,DDR4,3600,oloy-md4u1636181chkda-32-gb-ddr4-3600
Corsair Vengeance LPX 16 GB,71.98,"2,8",4.499,White,10.0,16.0,DDR4,3200,corsair-vengeance-lpx-16-gb-ddr4-3200
TEAMGROUP T-Force Delta RGB 32 GB,81.99,"2,16",2.562,White,13.571,38.0,DDR5,5600,teamgroup-t-force-delta-rgb-32-gb-ddr5-5600
TEAMGROUP T-Force Vulcan TUF Gaming Alliance 16 GB,,"2,8",,Gold / Black,10.0,16.0,DDR4,3200,teamgroup-t-force-vulcan-tuf-gaming-alliance-16-gb-ddr4-3200
Timetec FBA_75TT160UL1R8-4G 16 GB,16.98,"2,8",1.061,Black,13.75,11.0,DDR3,1600,timetec-fba-75tt160ul1r8-4g-16-gb-ddr3-1600
Klevv CRAS V RGB 64 GB,,"2,32",,Black,10.0,30.0,DDR5,6000,klevv-cras-v-rgb-64-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB 64 GB,179.99,"2,32",2.812,White,12.667,38.0,DDR5,6000,teamgroup-t-force-delta-rgb-64-gb-ddr5-6000
Kingston FURY 128 GB,393.0,"4,32",3.07,White,15.385,40.0,DDR5,5200,kingston-fury-128-gb-ddr5-5200
Kingston FURY Beast 32 GB,132.19,"2,16",4.131,Black,10.0,16.0,DDR4,3200,kingston-fury-beast-32-gb-ddr4-3200
Corsair Vengeance 48 GB,179.99,"2,24",3.75,White / Gray,10.0,30.0,DDR5,6000,corsair-vengeance-48-gb-ddr5-6000
G.Skill Trident Z5 Neo RGB 48 GB,264.99,"2,24",5.521,White / Black,8.667,26.0,DDR5,6000,g-skill-trident-z5-neo-rgb-48-gb-ddr5-6000
G.Skill Ripjaws M5 RGB 32 GB,114.99,"2,16",3.593,White,10.0,32.0,DDR5,6400,g-skill-ripjaws-m5-rgb-32-gb-ddr5-6400
TEAMGROUP T-Create Expert 96 GB,345.99,"2,48",3.604,White,10.588,36.0,DDR5,6800,teamgroup-t-create-expert-96-gb-ddr5-6800
Corsair Vengeance RGB 32 GB,99.99,"2,16",3.125,Black / Gray,11.25,36.0,DDR5,6400,corsair-vengeance-rgb-32-gb-ddr5-6400
G.Skill Trident Z5 Royal 48 GB,,"2,24",,Silver,10.0,36.0,DDR5,7200,g-skill-trident-z5-royal-48-gb-ddr5-7200
ADATA XPG Lancer Blade RGB 32 GB,,"2,16",,White,12.0,36.0,DDR5,6000,adata-xpg-lancer-blade-rgb-32-gb-ddr5-6000
Crucial CT16G4DFD824A 16 GB,35.0,"1,16",2.188,Green / Black,14.167,17.0,DDR4,2400,crucial-ct16g4dfd824a-16-gb-ddr4-2400
G.Skill Ripjaws S5 64 GB,159.99,"2,32",2.5,Black,15.385,40.0,DDR5,5200,g-skill-ripjaws-s5-64-gb-ddr5-5200
Kingston FURY 64 GB,242.99,"4,16",3.797,White,14.286,40.0,DDR5,5600,kingston-fury-64-gb-ddr5-5600
Acer Predator Pallas II 32 GB,,"2,16",,Black,10.0,30.0,DDR5,6000,acer-predator-pallas-ii-32-gb-ddr5-6000
TEAMGROUP Xtreem 32 GB,105.99,"2,16",3.312,Black,10.0,30.0,DDR5,6000,teamgroup-xtreem-32-gb-ddr5-6000
G.Skill Ripjaws S5 48 GB,104.99,"2,24",2.187,Black,15.385,40.0,DDR5,5200,g-skill-ripjaws-s5-48-gb-ddr5-5200
TEAMGROUP T-Force Vulcan Z 32 GB,,"2,16",,Black,10.0,16.0,DDR4,3200,teamgroup-t-force-vulcan-z-32-gb-ddr4-3200
Kingston FURY Beast RGB 32 GB,,"2,16",,Black,10.0,16.0,DDR4,3200,kingston-fury-beast-rgb-32-gb-ddr4-3200
G.Skill Trident Z5 32 GB,114.99,"2,16",3.593,Black,10.0,30.0,DDR5,6000,g-skill-trident-z5-32-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB Eco 32 GB,84.99,"2,16",2.656,Silver,12.667,38.0,DDR5,6000,teamgroup-t-force-delta-rgb-eco-32-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB 32 GB,87.99,"2,16",2.75,White,15.385,40.0,DDR5,5200,teamgroup-t-force-delta-rgb-32-gb-ddr5-5200
G.Skill Trident Z Neo 32 GB,95.99,"2,16",3.0,Black / Silver,9.0,18.0,DDR4,4000,g-skill-trident-z-neo-32-gb-ddr4-4000
Kingston FURY Beast RGB 64 GB,269.99,"2,32",4.219,Black,10.0,32.0,DDR5,6400,kingston-fury-beast-rgb-64-gb-ddr5-6400
TEAMGROUP Elite Plus 16 GB,40.99,"1,16",2.562,Black,14.286,40.0,DDR5,5600,teamgroup-elite-plus-16-gb-ddr5-5600
G.Skill Trident Z Royal 128 GB,464.59,"4,32",3.63,Silver,9.0,18.0,DDR4,4000,g-skill-trident-z-royal-128-gb-ddr4-4000
Corsair Vengeance 32 GB,139.09,"2,16",4.347,White / Gray,10.0,32.0,DDR5,6400,corsair-vengeance-32-gb-ddr5-6400
ADATA XPG Lancer Blade 32 GB,162.93,"2,16",5.092,White,10.0,30.0,DDR5,6000,adata-xpg-lancer-blade-32-gb-ddr5-6000
Acer Predator Vesta II RGB 32 GB,,"2,16",,Silver,10.667,32.0,DDR5,6000,acer-predator-vesta-ii-rgb-32-gb-ddr5-6000
Kingston FURY Beast RGB 64 GB,222.25,"2,32",3.473,Black,12.0,36.0,DDR5,6000,kingston-fury-beast-rgb-64-gb-ddr5-6000
Patriot Viper Venom RGB 32 GB,,"2,16",,Black / White,12.903,40.0,DDR5,6200,patriot-viper-venom-rgb-32-gb-ddr5-6200
Corsair Vengeance LPX 64 GB,144.99,"4,16",2.265,Black / Yellow,12.003,16.0,DDR4,2666,corsair-vengeance-lpx-64-gb-ddr4-2666
PNY Performance 16 GB,31.99,"1,16",1.999,Black,13.75,22.0,DDR4,3200,pny-performance-16-gb-ddr4-3200
G.Skill Flare X5 128 GB,,"2,64",,Black,10.667,32.0,DDR5,6000,g-skill-flare-x5-128-gb-ddr5-6000
Silicon Power XPOWER Zenith Gaming 16 GB,,"2,8",,Black / Silver,10.0,16.0,DDR4,3200,silicon-power-xpower-zenith-gaming-16-gb-ddr4-3200
Corsair Vengeance 64 GB,275.99,"4,16",4.312,Black / Gray,10.323,32.0,DDR5,6200,corsair-vengeance-64-gb-ddr5-6200
ADATA XPG LANCER RGB 32 GB,,"2,16",,White,10.0,30.0,DDR5,6000,adata-xpg-lancer-rgb-32-gb-ddr5-6000
Samsung M386A4G40DM0-CPB 32 GB,49.99,"1,32",1.562,Black / Green,14.065,15.0,DDR4,2133,samsung-m386a4g40dm0-cpb-32-gb-ddr4-2133
Corsair Vengeance RGB Pro 8 GB,52.98,"1,8",6.622,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-8-gb-ddr4-3200
Kingston KVR1333D3N9HK2/8G 8 GB,49.99,"2,4",6.249,Green,13.503,9.0,DDR3,1333,kingston-kvr1333d3n9hk2-8g-8-gb-ddr3-1333
Kingston HyperX Fury 16 GB,,"2,8",,Black / White,13.127,14.0,DDR4,2133,kingston-hyperx-fury-16-gb-ddr4-2133
Corsair Vengeance 32 GB,124.49,"2,16",3.89,Black,12.0,36.0,DDR5,6000,corsair-vengeance-32-gb-ddr5-6000
Corsair Vengeance RGB 32 GB,119.99,"2,16",3.75,White / Silver,12.0,36.0,DDR5,6000,corsair-vengeance-rgb-32-gb-ddr5-6000
Corsair Vengeance RGB Pro 256 GB,660.29,"8,32",,Black,10.0,16.0,DDR4,3200,corsair-vengeance-rgb-pro-256-gb-ddr4-3200
Patriot Viper Xtreme 5 RGB 48 GB,157.99,"2,24",3.291,Black,9.474,36.0,DDR5,7600,patriot-viper-xtreme-5-rgb-48-gb-ddr5-7600
Patriot Viper Xtreme 5 RGB 32 GB,127.99,"2,16",4.0,Black,9.474,36.0,DDR5,7600,patriot-viper-xtreme-5-rgb-32-gb-ddr5-7600
Corsair Dominator Platinum RGB 64 GB,319.99,"2,32",5.0,Black,10.0,32.0,DDR5,6400,corsair-dominator-platinum-rgb-64-gb-ddr5-6400
Corsair Vengeance 32 GB,108.99,"2,16",3.406,Black,11.613,36.0,DDR5,6200,corsair-vengeance-32-gb-ddr5-6200
GOODRAM IRDM 32 GB,,"2,16",,Black,10.0,32.0,DDR5,6400,goodram-irdm-32-gb-ddr5-6400
Corsair Vengeance 8 GB,60.98,"2,4",7.622,Black / Silver,11.25,9.0,DDR3,1600,corsair-vengeance-8-gb-ddr3-1600
Crucial Ballistix 16 GB,,"2,8",,White,10.0,16.0,DDR4,3200,crucial-ballistix-16-gb-ddr4-3200
G.Skill TridentZ RGB 16 GB,189.0,"2,8",11.812,Black,8.5,17.0,DDR4,4000,g-skill-tridentz-rgb-16-gb-ddr4-4000
G.Skill Trident Z5 48 GB,,"2,24",,Black,10.0,40.0,DDR5,8000,g-skill-trident-z5-48-gb-ddr5-8000
Crucial Ballistix Sport LT 16 GB,,"2,8",,Silver / Black,10.0,16.0,DDR4,3200,crucial-ballistix-sport-lt-16-gb-ddr4-3200
Acer Predator Vesta II RGB 64 GB,,"2,32",,Black,10.0,30.0,DDR5,6000,acer-predator-vesta-ii-rgb-64-gb-ddr5-6000
G.Skill Trident Z RGB 32 GB,,"2,16",,Black,8.636,19.0,DDR4,4400,g-skill-trident-z-rgb-32-gb-ddr4-4400
TEAMGROUP T-Force Xtreem 32 GB,154.99,"2,16",4.843,Pink,9.474,36.0,DDR5,7600,teamgroup-t-force-xtreem-32-gb-ddr5-7600
PNY XLR8 Gaming EPIC-X RGB 16 GB,39.99,"2,8",2.499,Black,10.0,18.0,DDR4,3600,pny-xlr8-gaming-epic-x-rgb-16-gb-ddr4-3600
TEAMGROUP T-Force Vulcanα 32 GB,82.49,"2,16",2.578,Black / Silver,14.286,40.0,DDR5,5600,teamgroup-t-force-vulcan-32-gb-ddr5-5600
Kingston ValueRAM 16 GB,58.2,"1,16",3.638,,13.75,22.0,DDR4,3200,kingston-valueram-16-gb-ddr4-3200
Corsair Vengeance RGB 32 GB,117.99,"2,16",3.687,Black,11.613,36.0,DDR5,6200,corsair-vengeance-rgb-32-gb-ddr5-6200
Kingston Fury Renegade RGB 96 GB,369.99,"2,48",3.854,Silver / Black,10.0,32.0,DDR5,6400,kingston-fury-renegade-rgb-96-gb-ddr5-6400
Kingston KCP424SS6/4 4 GB,5.0,"1,4",1.25,Green / Black,14.167,17.0,DDR4,2400,kingston-kcp424ss6-4-4-gb-ddr4-2400
Corsair Vengeance RGB 64 GB,169.0,"2,32",2.641,Black / Gray,15.385,40.0,DDR5,5200,corsair-vengeance-rgb-64-gb-ddr5-5200
Corsair Dominator Platinum RGB 64 GB,,"2,32",,Black,14.286,40.0,DDR5,5600,corsair-dominator-platinum-rgb-64-gb-ddr5-5600
ADATA XPG LANCER RGB 64 GB,296.27,"2,32",4.629,Black,10.0,32.0,DDR5,6400,adata-xpg-lancer-rgb-64-gb-ddr5-6400
Corsair Vengeance LPX 16 GB,37.79,"1,16",2.362,Black,11.667,14.0,DDR4,2400,corsair-vengeance-lpx-16-gb-ddr4-2400
Kingston HyperX Fury 8 GB,,"2,4",,Black / White,13.127,14.0,DDR4,2133,kingston-hyperx-fury-8-gb-ddr4-2133
Corsair Vengeance LPX 16 GB,72.98,"1,16",4.561,Black / Yellow,10.0,16.0,DDR4,3200,corsair-vengeance-lpx-16-gb-ddr4-3200
G.Skill Trident Z5 32 GB,97.99,"2,16",3.062,Black,12.0,36.0,DDR5,6000,g-skill-trident-z5-32-gb-ddr5-6000
V-Color Prism Pro 32 GB,,"2,16",,Black,10.0,18.0,DDR4,3600,v-color-prism-pro-32-gb-ddr4-3600
Mushkin Redline 32 GB,,"2,16",,Black,16.667,40.0,DDR5,4800,mushkin-redline-32-gb-ddr5-4800
G.Skill Ripjaws M5 RGB 32 GB,89.99,"2,16",2.812,Black,15.385,40.0,DDR5,5200,g-skill-ripjaws-m5-rgb-32-gb-ddr5-5200
Corsair Vengeance RGB 96 GB,294.99,"4,24",3.073,Black,13.333,40.0,DDR5,6000,corsair-vengeance-rgb-96-gb-ddr5-6000
Kingston FURY Beast 16 GB,65.0,"2,8",4.062,Black,15.833,38.0,DDR5,4800,kingston-fury-beast-16-gb-ddr5-4800
Patriot Signature Premium 8 GB,19.98,"1,8",2.498,Black,14.167,17.0,DDR4,2400,patriot-signature-premium-8-gb-ddr4-2400
G.Skill Ripjaws V 32 GB,,"4,8",,Black,10.0,16.0,DDR4,3200,g-skill-ripjaws-v-32-gb-ddr4-3200
TEAMGROUP T-Force DELTAα RGB 32 GB,92.49,"2,16",2.89,Black,12.667,38.0,DDR5,6000,teamgroup-t-force-delta-rgb-32-gb-ddr5-6000
G.Skill Trident Z Neo 32 GB,116.99,"4,8",3.656,Silver / Black,10.0,18.0,DDR4,3600,g-skill-trident-z-neo-32-gb-ddr4-3600
Timetec PINNACLE Konduit 16 GB,30.99,"1,16",1.937,White,10.0,18.0,DDR4,3600,timetec-pinnacle-konduit-16-gb-ddr4-3600
G.Skill Trident Z Royal 128 GB,799.0,"4,32",6.242,Gold,8.889,16.0,DDR4,3600,g-skill-trident-z-royal-128-gb-ddr4-3600
Biwin Black Opal DW100 RGB 32 GB,,"2,16",,Black,10.0,30.0,DDR5,6000,biwin-black-opal-dw100-rgb-32-gb-ddr5-6000
Kingston FURY Beast 32 GB,139.34,"2,16",4.354,White,10.0,30.0,DDR5,6000,kingston-fury-beast-32-gb-ddr5-6000
G.Skill Ripjaws M5 RGB 64 GB,154.99,"2,32",2.422,White,15.385,40.0,DDR5,5200,g-skill-ripjaws-m5-rgb-64-gb-ddr5-5200
ADATA XPG SPECTRIX D41 16 GB,,"2,8",,Black,10.0,16.0,DDR4,3200,adata-xpg-spectrix-d41-16-gb-ddr4-3200
TEAMGROUP T-Force Delta RGB 64 GB,179.99,"2,32",2.812,Black,12.667,38.0,DDR5,6000,teamgroup-t-force-delta-rgb-64-gb-ddr5-6000
Corsair Vengeance LPX 64 GB,,"4,16",,Black,10.0,18.0,DDR4,3600,corsair-vengeance-lpx-64-gb-ddr4-3600
TEAMGROUP T-Force Delta RGB 32 GB,159.99,"2,16",5.0,Black / Silver,9.5,38.0,DDR5,8000,teamgroup-t-force-delta-rgb-32-gb-ddr5-8000
G.Skill Trident Z RGB 16 GB,56.99,"2,8",3.562,Black,10.667,16.0,DDR4,3000,g-skill-trident-z-rgb-16-gb-ddr4-3000
SK Hynix HMT41GU6MFR8C-PB 8 GB,,"1,8",,Blue,13.75,11.0,DDR3,1600,sk-hynix-hmt41gu6mfr8c-pb-8-gb-ddr3-1600
G.Skill TridentZ RGB 64 GB,,"2,32",,Black,8.696,20.0,DDR4,4600,g-skill-tridentz-rgb-64-gb-ddr4-4600
Silicon Power XPOWER Storm RGB 64 GB,,"2,32",,Black,9.5,38.0,DDR5,8000,silicon-power-xpower-storm-rgb-64-gb-ddr5-8000
Kingston Server Premier 32 GB,182.99,"1,32",5.718,Green / Black,16.429,46.0,DDR5,5600,kingston-server-premier-32-gb-ddr5-5600
Kingston FURY Beast RGB 32 GB,149.77,"2,16",4.68,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-rgb-32-gb-ddr5-6000
G.Skill Trident Z5 RGB 48 GB,229.03,"2,24",4.771,Black,13.333,40.0,DDR5,6000,g-skill-trident-z5-rgb-48-gb-ddr5-6000
G.Skill Ripjaws M5 RGB 32 GB,99.99,"2,16",3.125,White,12.0,36.0,DDR5,6000,g-skill-ripjaws-m5-rgb-32-gb-ddr5-6000
Corsair Vengeance RGB 64 GB,189.99,"2,32",2.969,Black / Gray,14.286,40.0,DDR5,5600,corsair-vengeance-rgb-64-gb-ddr5-5600
Corsair Vengeance 64 GB,149.99,"2,32",2.344,Gray,15.385,40.0,DDR5,5200,corsair-vengeance-64-gb-ddr5-5200
ADATA XPG GAMMIX D10 32 GB,,"2,16",,Black / Silver,10.0,16.0,DDR4,3200,adata-xpg-gammix-d10-32-gb-ddr4-3200
Corsair Vengeance LPX 32 GB,,"2,16",,White,10.0,16.0,DDR4,3200,corsair-vengeance-lpx-32-gb-ddr4-3200
ADATA AD4U266638G19-S 8 GB,,"1,8",,Green / Black,14.254,19.0,DDR4,2666,adata-ad4u266638g19-s-8-gb-ddr4-2666
Corsair Vengeance LPX 32 GB,124.99,"2,16",3.906,Black / Yellow,11.667,14.0,DDR4,2400,corsair-vengeance-lpx-32-gb-ddr4-2400
Kingston FURY Renegade 32 GB,,"2,16",,Black,8.889,16.0,DDR4,3600,kingston-fury-renegade-32-gb-ddr4-3600
Timetec PINNACLE Konduit RGB 16 GB,39.99,"2,8",2.499,White,10.0,18.0,DDR4,3600,timetec-pinnacle-konduit-rgb-16-gb-ddr4-3600
Samsung M393A8G40MB2-CVF 64 GB,149.99,"1,64",2.344,Green / Black,14.32,21.0,DDR4,2933,samsung-m393a8g40mb2-cvf-64-gb-ddr4-2933
Lexar THOR 8 GB,,"1,8",,Black,10.0,16.0,DDR4,3200,lexar-thor-8-gb-ddr4-3200
G.Skill Trident Z5 Neo RGB 48 GB,284.45,"2,24",5.926,Black,13.333,40.0,DDR5,6000,g-skill-trident-z5-neo-rgb-48-gb-ddr5-6000
G.Skill Trident Z RGB 16 GB,58.99,"2,8",3.687,Black,9.0,18.0,DDR4,4000,g-skill-trident-z-rgb-16-gb-ddr4-4000
Thermaltake TOUGHRAM XG RGB D5 32 GB,154.98,"2,16",4.843,White / Silver,12.0,36.0,DDR5,6000,thermaltake-toughram-xg-rgb-d5-32-gb-ddr5-6000
Corsair Vengeance RGB 96 GB,397.99,"4,24",4.146,Black / Gray,10.0,32.0,DDR5,6400,corsair-vengeance-rgb-96-gb-ddr5-6400
PNY Performance 8 GB,16.32,"1,8",2.04,Black,13.75,22.0,DDR4,3200,pny-performance-8-gb-ddr4-3200
G.Skill Trident Z5 RGB 32 GB,92.99,"2,16",2.906,Black,12.857,36.0,DDR5,5600,g-skill-trident-z5-rgb-32-gb-ddr5-5600
G.Skill Ripjaws S5 48 GB,,"2,24",,Black,10.0,32.0,DDR5,6400,g-skill-ripjaws-s5-48-gb-ddr5-6400
TEAMGROUP T-Force Delta RGB 32 GB,137.99,"2,16",4.312,Black / Silver,9.474,36.0,DDR5,7600,teamgroup-t-force-delta-rgb-32-gb-ddr5-7600
G.Skill Flare X5 16 GB,,"1,16",,Black,12.857,36.0,DDR5,5600,g-skill-flare-x5-16-gb-ddr5-5600
G.Skill Trident Z5 Royal 32 GB,159.99,"2,16",5.0,Silver,9.474,36.0,DDR5,7600,g-skill-trident-z5-royal-32-gb-ddr5-7600
G.Skill Value 4 GB,14.72,"1,4",3.68,Green,13.75,11.0,DDR3,1600,g-skill-value-4-gb-ddr3-1600
G.Skill Trident Z5 Neo RGB 32 GB,138.99,"2,16",4.343,,10.0,32.0,DDR5,6400,g-skill-trident-z5-neo-rgb-32-gb-ddr5-6400
TEAMGROUP Xtreem 32 GB,121.99,"2,16",3.812,Black,9.444,34.0,DDR5,7200,teamgroup-xtreem-32-gb-ddr5-7200
G.Skill Ripjaws V 32 GB,69.98,"1,32",2.187,Black,10.0,16.0,DDR4,3200,g-skill-ripjaws-v-32-gb-ddr4-3200
Klevv CRAS X RGB 16 GB,51.99,"2,8",3.249,Black,10.0,18.0,DDR4,3600,klevv-cras-x-rgb-16-gb-ddr4-3600
TEAMGROUP T-Force Delta RGB 16 GB,43.99,"2,8",2.749,Black,10.0,16.0,DDR4,3200,teamgroup-t-force-delta-rgb-16-gb-ddr4-3200
Patriot Viper Elite 5 RGB 48 GB,139.99,"2,24",2.916,White,14.0,42.0,DDR5,6000,patriot-viper-elite-5-rgb-48-gb-ddr5-6000
Corsair Dominator Platinum RGB 32 GB,186.42,"4,8",5.826,White,10.0,18.0,DDR4,3600,corsair-dominator-platinum-rgb-32-gb-ddr4-3600
TEAMGROUP T-Force Vulcan 16 GB,85.59,"1,16",5.349,Red,15.385,40.0,DDR5,5200,teamgroup-t-force-vulcan-16-gb-ddr5-5200
Silicon Power XPOWER Zenith RGB Gaming 64 GB,,"2,32",,Black,10.0,30.0,DDR5,6000,silicon-power-xpower-zenith-rgb-gaming-64-gb-ddr5-6000
Silicon Power XPOWER Storm RGB 32 GB,,"2,16",,Black,10.0,32.0,DDR5,6400,silicon-power-xpower-storm-rgb-32-gb-ddr5-6400
Samsung M393A4K40CB1-CRC 32 GB,59.98,"1,32",1.874,Green / Black,14.167,17.0,DDR4,2400,samsung-m393a4k40cb1-crc-32-gb-ddr4-2400
G.Skill Trident Z5 Royal 32 GB,184.99,"2,16",5.781,Gold,9.444,34.0,DDR5,7200,g-skill-trident-z5-royal-32-gb-ddr5-7200
G.Skill Flare X5 48 GB,132.99,"2,24",2.771,Black,13.333,40.0,DDR5,6000,g-skill-flare-x5-48-gb-ddr5-6000
Kingston FURY Beast 32 GB,123.87,"1,32",3.871,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-32-gb-ddr5-6000
Silicon Power XPOWER Storm RGB 64 GB,159.99,"2,32",2.5,Gray,12.667,38.0,DDR5,6000,silicon-power-xpower-storm-rgb-64-gb-ddr5-6000
Crucial Ballistix Elite 16 GB,159.96,"2,8",9.998,Black,12.003,16.0,DDR4,2666,crucial-ballistix-elite-16-gb-ddr4-2666
Corsair Dominator Titanium 32 GB,188.99,"2,16",5.906,Black,10.0,32.0,DDR5,6400,corsair-dominator-titanium-32-gb-ddr5-6400
Kingston FURY Beast 64 GB,174.99,"2,32",2.734,Black,15.385,40.0,DDR5,5200,kingston-fury-beast-64-gb-ddr5-5200
Corsair Dominator Platinum RGB 32 GB,210.99,"2,16",6.593,Black,9.474,36.0,DDR5,7600,corsair-dominator-platinum-rgb-32-gb-ddr5-7600
Kingston FURY Beast 8 GB,34.9,"1,8",4.362,Black,15.385,40.0,DDR5,5200,kingston-fury-beast-8-gb-ddr5-5200
G.Skill Trident Z5 RGB 64 GB,219.99,"2,32",3.437,White / Black,10.0,30.0,DDR5,6000,g-skill-trident-z5-rgb-64-gb-ddr5-6000
Crucial Ballistix 16 GB,,"2,8",,Red,10.0,15.0,DDR4,3000,crucial-ballistix-16-gb-ddr4-3000
G.Skill Ripjaws S5 32 GB,109.99,"2,16",3.437,White,10.0,30.0,DDR5,6000,g-skill-ripjaws-s5-32-gb-ddr5-6000
Kingston FURY Beast 64 GB,240.93,"2,32",3.765,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-64-gb-ddr5-6000
Corsair Vengeance RGB Pro 32 GB,134.99,"4,8",4.218,Black,10.0,18.0,DDR4,3600,corsair-vengeance-rgb-pro-32-gb-ddr4-3600
TEAMGROUP T-Force Delta RGB 48 GB,249.99,"2,24",5.208,Black,9.268,38.0,DDR5,8200,teamgroup-t-force-delta-rgb-48-gb-ddr5-8200
Corsair Vengeance 32 GB,98.99,"1,32",3.093,Black / Gray,14.286,40.0,DDR5,5600,corsair-vengeance-32-gb-ddr5-5600
Kingston FURY Renegade 96 GB,398.49,"2,48",4.151,Silver / Black,10.0,32.0,DDR5,6400,kingston-fury-renegade-96-gb-ddr5-6400
Crucial CT8G4DFS8213 8 GB,19.0,"1,8",2.375,Black / Green,14.065,15.0,DDR4,2133,crucial-ct8g4dfs8213-8-gb-ddr4-2133
Corsair Dominator Platinum 64 GB,,"4,16",,Black / Silver,9.233,16.0,DDR4,3466,corsair-dominator-platinum-64-gb-ddr4-3466
Kingston FURY Beast RGB 32 GB,139.56,"2,16",4.361,White,12.0,36.0,DDR5,6000,kingston-fury-beast-rgb-32-gb-ddr5-6000
Patriot Viper Steel RGB 64 GB,172.99,"2,32",2.703,Black,11.111,20.0,DDR4,3600,patriot-viper-steel-rgb-64-gb-ddr4-3600
G.Skill Trident Z5 Neo RGB 64 GB,,"2,32",,Black / Silver,8.667,26.0,DDR5,6000,g-skill-trident-z5-neo-rgb-64-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB 48 GB,179.99,"2,24",3.75,Black,9.444,34.0,DDR5,7200,teamgroup-t-force-delta-rgb-48-gb-ddr5-7200
Kingston FURY Beast 64 GB,280.0,"2,32",4.375,Black / Silver,10.0,18.0,DDR4,3600,kingston-fury-beast-64-gb-ddr4-3600
Kingston FURY Beast 16 GB,55.8,"1,16",3.487,Black,12.857,36.0,DDR5,5600,kingston-fury-beast-16-gb-ddr5-5600
G.Skill Trident Z5 Neo RGB 32 GB,,"2,16",,Black / Silver,8.667,26.0,DDR5,6000,g-skill-trident-z5-neo-rgb-32-gb-ddr5-6000
Samsung M471B5273DH0-CK0 4 GB,10.25,"1,4",2.562,Green,13.75,11.0,DDR3,1600,samsung-m471b5273dh0-ck0-4-gb-ddr3-1600
Corsair Vengeance RGB 48 GB,201.99,"2,24",4.208,Black / Silver,10.0,30.0,DDR5,6000,corsair-vengeance-rgb-48-gb-ddr5-6000
Crucial CT2K16G4RFD4213 32 GB,56.25,"2,16",1.758,Green,14.065,15.0,DDR4,2133,crucial-ct2k16g4rfd4213-32-gb-ddr4-2133
Corsair Vengeance LPX 8 GB,34.93,"2,4",4.366,Black / Yellow,12.003,16.0,DDR4,2666,corsair-vengeance-lpx-8-gb-ddr4-2666
Kingston FURY 128 GB,274.99,"4,32",2.148,White,15.385,40.0,DDR5,5200,kingston-fury-128-gb-ddr5-5200
TEAMGROUP T-Force Delta RGB 48 GB,214.99,"2,24",4.479,White,9.5,38.0,DDR5,8000,teamgroup-t-force-delta-rgb-48-gb-ddr5-8000
TEAMGROUP T-Force Vulcan 32 GB,87.99,"2,16",2.75,Black,12.857,36.0,DDR5,5600,teamgroup-t-force-vulcan-32-gb-ddr5-5600
Silicon Power XPOWER Turbine RGB 32 GB,,"2,16",,Silver / Black,10.0,16.0,DDR4,3200,silicon-power-xpower-turbine-rgb-32-gb-ddr4-3200
Corsair Dominator Titanium 48 GB,239.99,"2,24",5.0,White,10.286,36.0,DDR5,7000,corsair-dominator-titanium-48-gb-ddr5-7000
Corsair Vengeance 32 GB,110.73,"2,16",3.46,Black,13.333,40.0,DDR5,6000,corsair-vengeance-32-gb-ddr5-6000
Patriot Viper Elite 5 RGB 32 GB,107.99,"2,16",3.375,White,10.857,38.0,DDR5,7000,patriot-viper-elite-5-rgb-32-gb-ddr5-7000
G.Skill Ripjaws M5 RGB 32 GB,89.99,"2,16",2.812,White,15.385,40.0,DDR5,5200,g-skill-ripjaws-m5-rgb-32-gb-ddr5-5200
Kingston FURY Beast RGB 64 GB,179.99,"2,32",2.812,Black,12.857,36.0,DDR5,5600,kingston-fury-beast-rgb-64-gb-ddr5-5600
ADATA Premier 16 GB,57.45,"1,16",3.591,Black,16.667,40.0,DDR5,4800,adata-premier-16-gb-ddr5-4800
ADATA XPG SPECTRIX D35G RGB 16 GB,97.01,"1,16",6.063,Black,10.0,16.0,DDR4,3200,adata-xpg-spectrix-d35g-rgb-16-gb-ddr4-3200
Kingston Server Premier 32 GB,299.0,"1,32",9.344,,14.32,21.0,DDR4,2933,kingston-server-premier-32-gb-ddr4-2933
